时间戳,横滚角(°),俯仰角(°),航向角(°),加速度X(m/s²),加速度Y(m/s²),加速度Z(m/s²),角速度X(rad/s),角速度Y(rad/s),角速度Z(rad/s),地磁X(μT),地磁Y(μT),地磁Z(μT),纬度(°),经度(°),GPS高度(米),GPS地速(m/s),GPS航向角(°),GPS卫星数,气压高度(米),气压(hPa),气温(℃),测距传感器(米),电压(V),电流(A),剩余电量(%),油门(0-100),空速(m/s),地速(m/s),爬升率(m/s),当前方向(°),是否解锁,飞行模式
="2025-07-29 17:22:49",-21,-85,145,1.060159,3.743811,-1.977194,0.9877771,0.112111,0.3962506,2,20,34,24.0953692535848,120.042057736889,388,13,114,8,265,1001,12,2,11.61332,4.359061,15,92,3,9,1.145473,220,True,LOITER
="2025-07-29 17:22:49",73,81,111,4.695982,-1.571571,4.900118,0.6689131,0.1526899,0.2413313,10,41,44,24.0410226056078,120.077906969505,251,4,112,12,191,1003,18,5,10.14491,2.409838,20,22,10,8,4.731622,45,True,LOITER
="2025-07-29 17:22:49",68,50,315,2.950317,3.960878,1.447717,0.4509792,0.4339,0.6878412,14,-31,-22,24.045258275068,120.026042754262,118,7,33,11,363,1017,21,8,10.88122,0.270451,40,88,16,15,0.5906663,164,False,LOITER
="2025-07-29 17:22:50",-53,-70,38,-4.707763,-3.398828,0.349626,0.9840379,0.6075736,0.5561264,36,-22,19,24.0524036048224,120.039482584614,104,12,79,14,414,1008,21,2,10.52418,3.698151,3,34,16,7,0.07843737,294,True,LOITER
="2025-07-29 17:22:50",-34,-49,154,4.897354,-3.257086,-1.555126,0.2312039,0.07618515,0.8614707,-40,-46,-33,24.0001791182906,120.047250518178,75,18,237,6,130,1012,21,3,10.03334,2.133767,98,85,7,19,4.08883,256,True,LOITER
="2025-07-29 17:22:50",16,42,61,4.739789,-0.3571254,-4.038623,0.4050905,0.03406056,0.2753852,49,39,46,24.0331594073834,120.074737876083,24,5,96,13,212,1003,12,7,10.42481,4.518981,2,21,0,0,1.604047,351,False,LOITER
="2025-07-29 17:22:50",-44,-64,184,-0.4527662,-0.6727583,3.307348,0.4985263,0.6866498,0.820438,-25,-34,48,24.0615077128455,120.089007250866,161,13,244,14,296,1002,11,4,11.10376,2.051916,83,52,5,18,1.250443,34,False,LOITER
="2025-07-29 17:22:50",38,-37,270,1.385319,3.191242,3.201492,0.2926554,0.6154093,0.4295651,26,-31,10,24.0907734978901,120.00210355376,385,11,4,12,264,1006,10,7,11.74936,0.6629098,86,59,2,12,4.534106,202,True,LOITER
="2025-07-29 17:22:51",-12,40,306,-0.4741004,1.857794,3.636421,0.2515407,0.5039271,0.8649285,-12,-18,-34,24.0332741588509,120.090698530614,393,12,140,5,464,1005,13,7,11.54644,1.69543,98,42,12,15,1.116617,258,True,LOITER
="2025-07-29 17:22:51",37,65,78,2.627727,3.798922,-4.43884,0.5684456,0.08423806,0.7336859,26,-31,16,24.0935051167819,120.073981188691,282,10,81,5,475,1014,18,9,10.61987,1.526233,71,95,10,9,1.305491,88,False,LOITER
="2025-07-29 17:22:51",-40,-64,256,1.15069,-2.024738,-3.853998,0.1442126,0.9067606,0.5880294,32,48,-31,24.0491353907386,120.004627912494,28,16,215,9,441,1007,20,3,10.01475,0.6168507,73,55,18,0,4.638346,195,False,LOITER
="2025-07-29 17:22:51",58,-2,101,4.183277,0.1835161,-2.770098,0.1247428,0.2664843,0.4273402,-42,-33,-14,24.0890811887519,120.056881733312,391,16,93,11,57,1018,10,4,11.70306,3.935551,0,13,11,17,3.706866,72,False,LOITER
="2025-07-29 17:22:51",86,-82,258,-3.406689,2.059923,-2.913915,0.1279514,0.5384234,0.6151808,-3,-35,-5,24.0311872432154,120.051931214776,454,2,199,14,368,1013,15,8,11.26065,0.2806301,44,63,9,18,1.899421,228,False,LOITER
="2025-07-29 17:22:52",4,-50,354,-3.060763,-1.808205,-3.286109,0.4094863,0.07736462,0.6099752,-37,-38,-1,24.0438727840985,120.089022447909,461,10,96,6,10,1000,24,1,11.09556,3.543366,16,41,13,14,0.3431399,256,False,LOITER
="2025-07-29 17:22:52",-62,86,84,1.300175,-2.702342,-1.72478,0.3253885,0.5888624,0.9451727,-36,36,-38,24.0522911019867,120.026796523867,157,3,59,10,48,1004,22,4,11.20032,1.511369,52,67,5,0,4.525285,182,True,LOITER
="2025-07-29 17:22:52",-89,71,328,4.618561,0.1798991,-2.957875,0.2602069,0.6931912,0.2121381,44,1,-43,24.0889071464021,120.006812155995,438,0,158,13,111,1009,12,9,10.97027,2.050308,80,38,18,2,2.759547,18,False,LOITER
="2025-07-29 17:22:52",33,-12,162,3.608838,-2.694079,1.104544,0.3061092,0.7967559,0.9873837,40,32,38,24.0285427819605,120.029646619423,140,14,84,11,326,1016,12,7,10.02139,2.511069,3,41,10,3,0.6863499,97,False,LOITER
="2025-07-29 17:22:52",-65,-62,232,3.282263,1.396525,-0.6105762,0.2072378,0.6456175,0.4144129,-37,-45,-27,24.0591700680364,120.036408968799,42,3,40,10,334,1013,16,9,10.43375,0.5960944,0,42,18,16,4.093629,38,False,LOITER
="2025-07-29 17:22:53",28,38,271,1.873522,2.252729,1.399576,0.4682399,0.6415933,0.2721476,-48,49,-27,24.0700370492274,120.012374749413,223,8,49,14,106,1007,19,5,11.14776,3.439423,24,94,10,16,1.066345,176,False,LOITER
="2025-07-29 17:22:53",58,-35,356,-1.055129,0.197299,3.37503,0.6767375,0.3600847,0.5597504,14,37,-11,24.0671174935843,120.046413190172,330,10,358,10,3,1016,23,6,11.43852,2.514162,19,14,1,8,3.909276,40,True,LOITER
