时间戳,横滚角(°),俯仰角(°),航向角(°),加速度X(m/s²),加速度Y(m/s²),加速度Z(m/s²),角速度X(rad/s),角速度Y(rad/s),角速度Z(rad/s),地磁X(μT),地磁Y(μT),地磁Z(μT),纬度(°),经度(°),GPS高度(米),GPS地速(m/s),GPS航向角(°),GPS卫星数,气压高度(米),气压(hPa),气温(℃),测距传感器(米),电压(V),电流(A),剩余电量(%),油门(0-100),空速(m/s),地速(m/s),爬升率(m/s),当前方向(°),是否解锁,飞行模式
="2025-07-21 15:27:19",-16,-82,333,-3.528854,-3.628348,4.982147,0.3885991,0.7668216,0.3285233,-45,7,22,24.008580442848,120.014270372835,264,18,208,12,181,1018,14,4,11.48007,2.909117,88,21,15,18,4.816303,301,True,LOITER
="2025-07-21 15:27:19",82,63,71,0.7077044,1.46682,-1.010729,0.004973622,0.1640447,0.1530923,-49,48,46,24.0166379443447,120.074733576865,243,14,149,9,281,1004,22,7,10.21067,1.558597,7,30,6,5,4.609792,84,False,LOITER
="2025-07-21 15:27:19",54,-2,127,1.20831,3.734885,3.871128,0.5719333,0.8825718,0.5266677,7,4,-30,24.0926784574486,120.02798671598,185,11,300,8,235,1006,17,4,11.25358,4.195395,21,74,17,9,1.709288,19,True,LOITER
="2025-07-21 15:27:19",-47,75,202,-3.157726,-0.2847015,3.130127,0.1265048,0.6131569,0.8563665,34,2,-47,24.0636081395967,120.032199405661,269,3,11,12,365,1010,23,5,11.77879,4.668395,40,86,10,8,0.6338463,0,False,LOITER
="2025-07-21 15:27:19",7,-5,300,-1.992315,-2.076512,-1.343515,0.0956398,0.8999749,0.7606449,20,28,11,24.0503060384422,120.099426695984,181,19,186,11,284,1017,21,6,11.0885,4.326,79,2,12,15,3.032249,107,True,LOITER
="2025-07-21 15:27:20",-3,64,275,4.872239,0.6402878,3.005231,0.02122557,0.2464545,0.8129031,43,30,47,24.0802111112886,120.009246134576,417,7,338,5,437,1019,21,6,10.29004,1.457398,93,92,19,10,1.323495,265,False,LOITER
="2025-07-21 15:27:20",-38,-7,357,-2.058229,2.59135,2.381661,0.00704303,0.7998623,0.1901843,-1,-8,25,24.0918907429054,120.09811630696,320,14,278,14,320,1013,21,7,10.60304,4.883955,92,71,9,1,3.179791,298,True,LOITER
="2025-07-21 15:27:20",86,-77,223,0.1252574,0.08601766,3.100526,0.7982843,0.07573504,0.6481707,43,-27,18,24.0501343859593,120.031414056072,401,4,111,7,92,1003,18,6,10.10029,2.866253,56,16,0,7,0.239648,95,True,LOITER
="2025-07-21 15:27:20",-61,-26,354,-0.5676275,1.805527,-2.025738,0.4686373,0.1315671,0.9320878,47,38,49,24.0755676002594,120.050191534427,23,16,238,6,242,1003,21,5,11.26509,4.801924,35,2,0,19,1.741017,286,False,LOITER
="2025-07-21 15:27:20",-85,-21,353,-4.243387,-1.758313,0.1779709,0.8709033,0.1227844,0.928687,34,-35,-25,24.0223165431629,120.06706773898,315,5,25,10,180,1007,13,6,10.20331,0.9124833,71,72,0,1,3.279937,89,True,LOITER
="2025-07-21 15:27:21",51,-66,195,3.534449,1.097229,2.731495,0.4262541,0.7237203,0.2823807,29,-50,5,24.0321419113931,120.060905839531,98,8,104,12,365,1019,16,9,10.88434,0.9497549,46,28,16,7,2.983471,178,True,LOITER
="2025-07-21 15:27:21",-6,32,116,-1.250763,-3.834605,1.806043,0.8172325,0.02052075,0.5213208,14,28,-43,24.0560869676322,120.024027778219,3,15,206,10,159,1014,15,9,10.5446,0.4002029,79,69,7,7,1.639783,350,False,LOITER
="2025-07-21 15:27:21",-68,51,2,0.3486734,3.769137,4.972994,0.2341347,0.07964638,0.7287753,-3,20,-30,24.0331814334417,120.064768022096,455,17,341,9,250,1004,22,3,11.52236,2.146467,54,40,4,11,2.107026,118,False,LOITER
="2025-07-21 15:27:21",34,8,209,1.628127,-2.099058,0.5515794,0.7054104,0.1295186,0.7829345,-17,-7,8,24.0260979844379,120.06491371345,358,18,155,13,406,1008,23,8,11.49306,1.101868,84,2,11,19,2.348612,271,True,LOITER
="2025-07-21 15:27:21",28,-18,15,-4.849592,1.605732,2.51202,0.9848676,0.6200486,0.3261407,-26,-18,21,24.0887287968717,120.040605154699,344,10,280,13,233,1016,20,6,11.85011,2.494071,86,80,7,16,1.317644,352,True,LOITER
="2025-07-21 15:27:22",28,-85,246,2.798025,-3.114614,-2.827395,0.6340963,0.05654469,0.1892838,-6,-24,-2,24.0158674166612,120.060092421742,53,17,293,6,263,1015,12,1,11.883,4.801438,5,47,10,2,4.294501,140,False,LOITER
="2025-07-21 15:27:22",-26,-28,191,1.692209,1.888838,-2.974236,0.626249,0.5007409,0.28294,-36,26,-23,24.0364225954918,120.042911484532,59,15,323,12,471,1010,19,7,10.36495,2.706363,65,8,14,14,3.564074,242,False,LOITER
="2025-07-21 15:27:22",-55,53,99,4.086698,-3.597061,1.258594,0.9317033,0.4189424,0.6566638,-32,15,-26,24.0650202213624,120.040293308273,362,11,191,14,354,1012,15,9,11.69009,2.576215,61,16,19,0,3.003357,172,True,LOITER
="2025-07-21 15:27:22",51,19,237,0.6959786,-0.2089884,-4.127851,0.5204451,0.9795806,0.1405237,46,-17,-22,24.0357843837402,120.099683235539,246,10,49,14,255,1003,21,1,10.05068,0.4730423,28,95,15,5,4.876851,228,True,LOITER
="2025-07-21 15:27:22",57,-58,104,3.704802,1.328403,4.893378,0.8333352,0.2464939,0.4900608,-49,45,6,24.0680828339737,120.005121562725,315,9,186,6,316,1017,11,1,10.5698,0.4939219,78,58,11,5,2.629134,117,False,LOITER
="2025-07-21 15:27:23",-90,1,16,0.2110034,-3.927424,-4.33111,0.1263522,0.8608987,0.5429375,-20,18,-48,24.0182523616209,120.084711731311,217,6,15,11,233,1004,12,4,11.56223,4.190021,72,89,3,1,0.2379808,152,True,LOITER
="2025-07-21 15:27:23",39,-61,280,4.47006,-4.373894,1.339033,0.5301153,0.5234408,0.4203135,-11,-24,-42,24.0548198357945,120.039656714741,34,2,90,8,120,1010,19,1,10.16418,0.3371705,66,72,4,15,1.068237,314,False,LOITER
