时间戳,横滚角(°),俯仰角(°),航向角(°),加速度X(m/s²),加速度Y(m/s²),加速度Z(m/s²),角速度X(rad/s),角速度Y(rad/s),角速度Z(rad/s),地磁X(μT),地磁Y(μT),地磁Z(μT),纬度(°),经度(°),GPS高度(米),GPS地速(m/s),GPS航向角(°),GPS卫星数,气压高度(米),气压(hPa),气温(℃),测距传感器(米),电压(V),电流(A),剩余电量(%),油门(0-100),空速(m/s),地速(m/s),爬升率(m/s),当前方向(°),是否解锁,飞行模式
2025-07-21 14:59:54,-87,-76,88,-0.2805269,2.429141,0.9830859,0.9663334,0.3183413,0.3060501,28,-25,-35,24.0957538748606,120.096450513181,301,3,98,13,455,1010,14,8,10.09035,1.786337,41,66,11,16,1.093404,275,True,LOITER
2025-07-21 14:59:54,-23,-86,320,-0.5720541,2.504264,1.240181,0.9201673,0.8467591,0.9547232,32,28,2,24.0865552291211,120.093740716713,430,5,246,6,437,1006,11,7,10.01435,1.848886,14,3,17,1,0.3754821,5,False,LOITER
2025-07-21 14:59:54,-73,7,29,3.824934,-3.738637,-4.320108,0.5217105,0.8531298,0.5650637,-15,-46,45,24.0690800231737,120.053827731476,174,3,151,10,203,1017,20,4,10.85277,3.124314,69,1,10,6,3.583592,264,True,LOITER
2025-07-21 14:59:54,48,78,247,1.860483,4.845084,2.826503,0.05491373,0.7351168,0.1921826,-34,-24,-19,24.0985470061649,120.003468644667,359,6,299,12,427,1009,17,7,10.2383,2.154624,75,11,9,3,0.5452132,197,False,LOITER
2025-07-21 14:59:55,-66,59,176,-2.246842,-4.814597,-4.97536,0.852229,0.3652363,0.3969717,-14,31,-29,24.0734815109398,120.044211816669,16,8,212,14,350,1013,17,8,10.53579,1.800663,10,81,5,18,4.344643,116,True,LOITER
2025-07-21 14:59:55,22,25,339,-3.703973,-0.1885429,-0.03500191,0.7593706,0.6996825,0.3139093,47,-8,-5,24.0103184857919,120.068445729403,225,7,355,12,337,1017,13,4,11.71989,3.560344,27,56,2,3,0.9976819,268,True,LOITER
2025-07-21 14:59:55,-1,-77,177,-3.074063,0.7149764,2.930222,0.3125155,0.5521054,0.9444162,33,-22,-12,24.0709001616439,120.008182811322,202,3,243,11,217,1005,13,2,10.9135,3.333788,21,78,4,17,4.600017,132,True,LOITER
2025-07-21 14:59:55,0,12,20,4.306086,-1.152465,1.090098,0.4918636,0.8804893,0.5913116,17,-33,23,24.0037057268451,120.092356785244,10,3,226,13,198,1009,17,7,10.9529,3.577801,30,61,16,19,3.93738,202,False,LOITER
2025-07-21 14:59:55,23,13,87,2.802999,3.179543,1.521377,0.1512195,0.02076447,0.5557004,-32,27,34,24.0592313715533,120.003597705999,232,8,267,6,316,1011,24,5,11.829,0.346945,73,9,6,12,3.845704,281,True,LOITER
2025-07-21 14:59:56,-74,-85,79,0.3876777,-3.465065,2.945187,0.143268,0.2035569,0.498805,-3,34,34,24.0269350747703,120.07471421113,460,17,244,13,97,1001,21,2,11.92763,2.345647,10,66,3,0,3.627726,111,True,LOITER
2025-07-21 14:59:56,-45,49,240,1.787228,3.153449,-1.272855,0.4972093,0.3105236,0.625172,9,49,-37,24.0120462099612,120.014006574365,341,12,116,13,104,1013,21,6,11.39473,3.692104,93,6,15,8,2.456196,223,False,LOITER
2025-07-21 14:59:56,-4,-57,344,0.9587298,-4.333762,1.025609,0.06841934,0.1061629,0.5114195,-32,2,7,24.0484305806218,120.07859172061,10,16,118,9,8,1017,13,5,11.29823,3.660572,67,7,18,14,3.75573,224,False,LOITER
2025-07-21 14:59:56,57,-90,180,0.146721,4.463029,-3.359052,0.5441928,0.6162156,0.04258804,-25,20,19,24.0479347008504,120.026303714014,1,4,342,14,110,1008,10,5,11.54093,4.335,96,53,4,18,4.949403,242,False,LOITER
2025-07-21 14:59:56,-27,70,41,2.08218,0.6694714,4.82632,0.2712451,0.07382027,0.6792578,28,30,47,24.0597075078914,120.052363890946,410,3,168,11,431,1019,22,5,10.40168,0.3121337,34,23,12,11,2.037224,338,True,LOITER
2025-07-21 14:59:57,22,-24,333,-1.474078,3.076811,-1.360544,0.5548192,0.4355217,0.230427,18,34,4,24.0636535031086,120.019506976157,249,3,123,6,184,1015,13,2,11.39665,2.533495,82,68,1,7,1.668054,125,True,LOITER
2025-07-21 14:59:57,29,43,56,-3.168591,1.061213,1.715602,0.1710467,0.01273299,0.8058205,41,-26,13,24.029460692466,120.097694107749,494,11,312,13,29,1005,16,1,10.36933,1.925964,50,67,8,10,0.5967252,111,False,LOITER
2025-07-21 14:59:57,-72,68,347,-3.217027,3.021725,-0.2161126,0.01192889,0.8934951,0.5018313,-33,-38,6,24.0840917564854,120.000111750606,246,8,190,13,62,1003,17,3,10.11329,1.518562,62,55,15,13,4.680259,90,True,LOITER
2025-07-21 14:59:57,70,-1,260,-3.614964,2.507883,-1.693367,0.7986438,0.1865389,0.08591492,35,45,5,24.0118998517803,120.02860075544,237,6,138,5,133,1017,20,9,10.25071,3.371094,82,82,13,11,1.237114,253,False,LOITER
2025-07-21 14:59:57,82,-46,190,-2.657931,-4.315782,-3.815886,0.8626139,0.7421507,0.0730563,23,14,-47,24.0330189660345,120.056549386613,357,18,6,6,105,1007,20,7,10.72737,4.756512,89,36,0,6,4.624823,241,False,LOITER
2025-07-21 14:59:58,79,-22,189,4.945957,-1.909735,0.8985589,0.05180067,0.4066597,0.2253373,2,-24,-31,24.0157944054882,120.004240239646,478,15,39,6,444,1012,15,1,10.63311,3.265619,28,88,11,6,3.494626,25,True,LOITER
2025-07-21 14:59:58,57,-18,173,2.103508,1.576377,3.036882,0.5708982,0.4065259,0.3477908,46,24,48,24.0867416979218,120.041075399723,238,4,327,14,287,1018,12,1,10.05581,4.255176,90,6,17,14,2.118128,4,True,LOITER
2025-07-21 14:59:58,37,-63,348,-0.5213733,2.906695,1.75199,0.3320516,0.2995575,0.9914752,3,20,4,24.0676621923073,120.06510526187,25,8,87,13,339,1013,15,2,10.26112,1.773943,78,37,12,16,2.968574,334,True,LOITER
2025-07-21 14:59:58,86,-30,90,-4.614533,3.304505,3.983107,0.9628913,0.6857386,0.5305431,7,14,8,24.0401735386998,120.049139997153,248,7,71,13,307,1012,23,7,10.68615,1.602088,58,2,12,13,2.079757,15,True,LOITER
2025-07-21 14:59:58,37,-79,242,2.232661,-2.95389,-0.7361323,0.6125059,0.2203076,0.5508292,-23,-38,-36,24.0092091784855,120.075392881304,270,14,310,7,11,1008,24,9,10.59861,4.842618,23,99,18,9,4.028996,102,False,LOITER
2025-07-21 14:59:59,-42,-3,18,4.3548,0.2169319,2.279526,0.7681338,0.2917905,0.9248973,8,13,-44,24.0351529223077,120.076992576326,297,5,203,5,147,1015,15,4,11.22352,2.843373,72,76,14,9,1.059556,178,False,LOITER
